,label,area,perimeter,orientation,surface de feuille
0,10,228415,3064.460028204822,1.544574431906765,228415
1,11,3951,287.41525958289964,1.4616275565283232,3951
2,12,7202,403.7533546995239,-1.072123732580781,7202
3,13,6729,412.43354954612926,-1.3105078518346558,6729
